название;каллории
Суп-пюре гороховый густой;54
Сухари пшеничные;331
Сухари сливочные;397
Сушки;330
"Сыр ""Голландский""";352
"Сыр плавленый ""Hochland""";189
Сыр плавленый жидкий;279
Сыр плавленый копченый;210
"Сыр ""Пошехонский""";334
"Сыр ""Российский""";363
"Сыр ""Сулугуни""";220
"Сыр ""Швейцарский""";385
Сыроежки;15
"Сырок плавленый ""Городской""";248
"Сырок плавленый ""Дружба""";296
"Сырок плавленый ""Орбита""";184
Творог, 0%;83
Творог, 18%;223
Творог, 4%;100
Творог, 5%;107
Творог, 9%;144
Телятина;90
Телятина в вине с грибами без масла;65
Томатная паста;65
Томаты грунтовые;22
Томаты парниковые;14
Томаты соленые;19
"Торт ""Королевский"", Мирель";158
"Торт ""Марс"", Мирель";294
"Торт ""Орфей"", Мирель";374
